# http://openkore-brasil.com 
# http://revok.com.br/ 
# RO packet extractor v0 Revok [11:40 (UTC -03:00) 25-03-2014] 
# Unpacked or Unknown .exe Packer 
# Target: 2014-03-25aRagexe.exe 
# MD5: ?  CRC32: ? 
# MID Encryption keys are K: 1593005323 M: 341802953 A: 378471902
# PIN addfactor: 0x881234 and multfactor: 0x3498
# Storage Encryption keys are K: 050B6F79, 0202C179, 0E20120, 04FA43E3, 0179B6C8, 05973DF2, 07D8D6B, 08CB9ED9

# Packet ID | Packet Length | Packet Min Length | Repeat Factor | Packet Description
0369 7 7 0		send::actor_action
02CE 10 10 0	receive::instance_window_leave (PACKET_ZC_MEMORIALDUNGEON_NOTIFY)
02CF 6 6 0		PACKET_CZ_MEMORIALDUNGEON_COMMAND
02D5 2 2 0		receive::ISVR_DISCONNECT (PACKET_ZC_ISVR_DISCONNECT)
02D0 -1 4 0		receive::inventory_items_nonstackable (PACKET_ZC_EQUIPMENT_ITEMLIST3)
02D1 -1 4 0		receive::storage_items_nonstackable (PACKET_ZC_STORE_EQUIPMENT_ITEMLIST3)
02D2 -1 4 0		receive::cart_items_nonstackable (PACKET_ZC_CART_EQUIPMENT_ITEMLIST3)
02D3 4 4 0		PACKET_ZC_NOTIFY_BIND_ON_EQUIP
02D4 29 29 0	receive::inventory_item_added (PACKET_ZC_ITEM_PICKUP_ACK3)
02D6 6 6 0		PACKET_CZ_EQUIPWIN_MICROSCOPE
02D7 -1 43 0	receive::show_eq (PACKET_ZC_EQUIPWIN_MICROSCOPE)
02D8 10 10 0	PACKET_CZ_CONFIG
02D9 10 10 0	receive::show_eq_msg_other (PACKET_ZC_CONFIG)
02DA 3 3 0		receive::show_eq_msg_self (PACKET_ZC_CONFIG_NOTIFY)
02DB -1 4 0		PACKET_CZ_BATTLEFIELD_CHAT
02DC -1 32 0	receive::battleground_message (PACKET_ZC_BATTLEFIELD_CHAT)
02DD 32 32 0	receive::battleground_emblem (PACKET_ZC_BATTLEFIELD_NOTIFY_CAMPINFO)
02DE 6 6 0		receive::battleground_score (PACKET_ZC_BATTLEFIELD_NOTIFY_POINT)
02DF 36 36 0	receive::battleground_position (PACKET_ZC_BATTLEFIELD_NOTIFY_POSITION)
02E0 34 34 0	receive::battleground_hp (PACKET_ZC_BATTLEFIELD_NOTIFY_HP)
02E1 33 33 0	receive::actor_action (PACKET_ZC_NOTIFY_ACT2)
02E2 8 8 0
02E3 10 10 0
02E4 6 6 0
02E5 5 5 0
02E6 6 6 0		PACKET_CZ_BOT_CHECK
02E7 -1 6 0		receive::map_property (PACKET_ZC_MAPPROPERTY)
02E8 -1 4 0		receive::inventory_items_stackable (PACKET_ZC_NORMAL_ITEMLIST3)
02E9 -1 4 0		receive::cart_items_stackable (PACKET_ZC_CART_NORMAL_ITEMLIST3)
02EA -1 4 0		receive::storage_items_stackable (PACKET_ZC_STORE_NORMAL_ITEMLIST3)
02EB 13 13 0	receive::map_loaded (PACKET_ZC_ACCEPT_ENTER2)
02EC 67 67 0	receive::actor_exists (PACKET_ZC_NOTIFY_MOVEENTRY4)
02ED 59 59 0	receive::actor_connected (PACKET_ZC_NOTIFY_NEWENTRY4)
02EE 60 60 0	receive::actor_moved (PACKET_ZC_NOTIFY_STANDENTRY4)
02EF 8 8 0		receive::font (PACKET_ZC_NOTIFY_FONT)
02F0 10 10 0	receive::progress_bar (PACKET_ZC_PROGRESS)
02F1 2 2 0		PACKET_CZ_PROGRESS
02F2 2 2 0		receive::progress_bar_stop (PACKET_ZC_PROGRESS_CANCEL)
035C 2 2 0		PACKET_CZ_OPEN_SIMPLE_CASHSHOP_ITEMLIST
035D -1 16 0	PACKET_ZC_SIMPLE_CASHSHOP_POINT_ITEMLIST
035E 2 2 0		PACKET_CZ_CLOSE_WINDOW
03DD 18 18 0	PACKET_AHC_GAME_GUARD
03DE 18 18 0	PACKET_CAH_ACK_GAME_GUARD
0439 8 8 0		PACKET_CZ_USE_ITEM2
043D 8 8 0		receive::skill_post_delay (PACKET_ZC_SKILL_POSTDELAY)
043E -1 4 0		receive::skill_post_delaylist (PACKET_ZC_SKILL_POSTDELAY_LIST)
043F 25 25 0	receive::actor_status_active (PACKET_ZC_MSG_STATE_CHANGE2)
0440 10 10 0	receive::millenium_shield (PACKET_ZC_MILLENNIUMSHIELD)
0441 4 4 0		receive::skill_delete (PACKET_ZC_SKILLINFO_DELETE)
0442 -1 8 0		receive::sage_autospell (PACKET_ZC_SKILL_SELECT_REQUEST)
0443 8 8 0		send::skill_select (PACKET_CZ_SKILL_SELECT_RESPONSE)
0446 14 14 0	receive::minimap_indicator (PACKET_ZC_QUEST_NOTIFY_EFFECT)
0448 -1 4 0		PACKET_HC_CHARACTER_LIST
0449 4 4 0		receive::hack_shield_alarm (PACKET_ZC_HACKSH_ERROR_MSG)
044A 6 6 0		PACKET_CZ_CLIENT_VERSION
044B 2 2 0		PACKET_CZ_CLOSE_SIMPLECASH_SHOP
0447 2 2 0		PACKET_CZ_BLOCKING_PLAY_CANCEL
07D7 8 8 0		send::party_setting (PACKET_CZ_GROUPINFO_CHANGE_V2)
07D8 8 8 0		receive::party_exp (PACKET_ZC_REQ_GROUPINFO_CHANGE_V2)
07D9 268 268 0	receive::hotkeys (PACKET_ZC_SHORTCUT_KEY_LIST_V2)
07DA 6 6 0		PACKET_CZ_CHANGE_GROUP_MASTER
07DB 8 8 0		receive::stat_info (PACKET_ZC_HO_PAR_CHANGE)
07DC 6 6 0		PACKET_CZ_SEEK_PARTY
07DD 54 54 0	PACKET_ZC_SEEK_PARTY
07DE 30 30 0	PACKET_CZ_SEEK_PARTY_MEMBER
07DF 54 54 0	PACKET_ZC_SEEK_PARTY_MEMBER
07E0 58 58 0	PACKET_ZC_ES_NOTI_MYINFO
07E1 15 15 0	receive::skill_update (PACKET_ZC_SKILLINFO_UPDATE2)
07E2 8 8 0		receive::msg_string (PACKET_ZC_MSG_VALUE)
07E3 6 6 0		receive::skill_exchange_item (PACKET_ZC_ITEMLISTWIN_OPEN)
07E6 8 8 0		receive::skill_msg (PACKET_ZC_MSG_SKILL)
07E5 4 4 0		PACKET_CH_ENTER_CHECKBOT
07E8 -1 4 0		receive::captcha_image (PACKET_HC_CHECKBOT)
07E7 32 32 0	PACKET_CH_CHECKBOT
07E9 5 5 0		receive::captcha_answer (PACKET_HC_CHECKBOT_RESULT)
07EA 2 2 0		PACKET_CZ_BATTLE_FIELD_LIST
07EB -1 8 0		PACKET_ZC_BATTLE_FIELD_LIST
07ED 10 10 0	PACKET_ZC_JOIN_BATTLE_FIELD
07EE 6 6 0		PACKET_CZ_CANCEL_BATTLE_FIELD
07EF 8 8 0		PACKET_ZC_CANCEL_BATTLE_FIELD
07F0 6 6 0		PACKET_CZ_REQ_BATTLE_STATE_MONITOR
07F1 18 18 0	PACKET_ZC_ACK_BATTLE_STATE_MONITOR
07F2 8 8 0		PACKET_ZC_BATTLE_NOTI_START_STEP
07F3 6 6 0		PACKET_ZC_BATTLE_JOIN_NOTI_DEFER
07F4 3 3 0		PACKET_ZC_BATTLE_JOIN_DISABLE_STATE
07F5 6 6 0		PACKET_CZ_GM_FULLSTRIP
07F6 14 14 0	receive::exp (PACKET_ZC_NOTIFY_EXP)
07F7 -1 69 0	receive::actor_exists (PACKET_ZC_NOTIFY_MOVEENTRY7)
07F8 -1 62 0	receive::actor_connected (PACKET_ZC_NOTIFY_NEWENTRY5)
07F9 -1 63 0	receive::actor_moved (PACKET_ZC_NOTIFY_STANDENTRY5)
07FA 8 8 0		receive::inventory_item_removed (PACKET_ZC_DELETE_ITEM_FROM_BODY)
07FB 25 25 0	receive::skill_cast (PACKET_ZC_USESKILL_ACK2)
07FC 10 10 0	receive::party_leader (PACKET_ZC_CHANGE_GROUP_MASTER)
07FD -1 7 0		receive::special_item_obtain
07FE 26 26 0	receive::sound_effect (PACKET_ZC_PLAY_NPC_BGM)
0800 -1 12 0	receive::vender_items_list (PACKET_ZC_PC_PURCHASE_ITEMLIST_FROMMC2)
0801 -1 12 0	send::buy_bulk_vender (PACKET_CZ_PC_PURCHASE_ITEMLIST_FROMMC2)
0803 4 4 0		receive::booking_register_request (PACKET_ZC_PARTY_BOOKING_ACK_REGISTER)
0804 14 14 0	send::booking_search (PACKET_CZ_PARTY_BOOKING_REQ_SEARCH)
0805 -1 5 0		receive::booking_search_request (PACKET_ZC_PARTY_BOOKING_ACK_SEARCH)
0806 2 2 0		send::booking_delete (PACKET_CZ_PARTY_BOOKING_REQ_DELETE)
0807 4 4 0		receive::booking_delete_request (PACKET_ZC_PARTY_BOOKING_ACK_DELETE)
0808 14 14 0	send::booking_update (PACKET_CZ_PARTY_BOOKING_REQ_UPDATE)
0809 50 50 0	receive::booking_insert (PACKET_ZC_PARTY_BOOKING_NOTIFY_INSERT)
080A 18 18 0	receive::booking_update (PACKET_ZC_PARTY_BOOKING_NOTIFY_UPDATE)
080B 6 6 0		receive::booking_delete (PACKET_ZC_PARTY_BOOKING_NOTIFY_DELETE)
080C 2 2 0		PACKET_CZ_SIMPLE_CASH_BTNSHOW
080D 3 3 0		PACKET_ZC_SIMPLE_CASH_BTNSHOW
080E 14 14 0	receive::party_hp_info (PACKET_ZC_NOTIFY_HP_TO_GROUPM_R2)
080F 20 20 0	receive::deal_add_other (PACKET_ZC_ADD_EXCHANGE_ITEM2)
0810 3 3 0		receive::open_buying_store (PACKET_ZC_OPEN_BUYING_STORE)
0812 8 8 0		receive::open_buying_store_fail (PACKET_ZC_FAILED_OPEN_BUYING_STORE_TO_BUYER)
0813 -1 12 0	receive::open_buying_store_item_list (PACKET_ZC_MYITEMLIST_BUYING_STORE)
0814 86 86 0	receive::buying_store_found (PACKET_ZC_BUYING_STORE_ENTRY)
0816 6 6 0		receive::buying_store_lost (PACKET_ZC_DISAPPEAR_BUYING_STORE_ENTRY)
0818 -1 16 0	receive::buying_store_items_list (PACKET_ZC_ACK_ITEMLIST_BUYING_STORE)
081A 4 4 0		PACKET_ZC_FAILED_TRADE_BUYING_STORE_TO_BUYER
0824 6 6 0		receive::buying_store_fail (PACKET_ZC_FAILED_TRADE_BUYING_STORE_TO_SELLER)
081B 10 10 0	receive::buying_store_update (PACKET_ZC_UPDATE_ITEM_FROM_BUYING_STORE)
081C 10 10 0	receive::buying_store_item_delete (PACKET_ZC_ITEM_DELETE_BUYING_STORE)
081D 22 22 0	PACKET_ZC_EL_INIT
081E 8 8 0		receive::stat_info (PACKET_ZC_EL_PAR_CHANGE)
081F -1 9 0		PACKET_ZC_BROADCAST4
0820 11 11 0	PACKET_ZC_COSTUME_SPRITE_CHANGE
0821 2 2 0		PACKET_AC_OTP_USER
0822 9 9 0		PACKET_CA_OTP_AUTH_REQ
0823 -1 6 0		PACKET_AC_OTP_AUTH_ACK
0825 -1 65 0	PACKET_CA_SSO_LOGIN_REQ
0826 4 4 0		PACKET_AC_SSO_LOGIN_ACK
0836 -1 7 0		PACKET_ZC_SEARCH_STORE_INFO_ACK
0837 3 3 0		PACKET_ZC_SEARCH_STORE_INFO_FAILED
0839 66 66 0	receive::guild_expulsion (PACKET_ZC_ACK_BAN_GUILD_SSO)
083A 5 5 0		PACKET_ZC_OPEN_SEARCH_STORE_INFO
083B 2 2 0		PACKET_CZ_CLOSE_SEARCH_STORE_INFO
083D 6 6 0		PACKET_ZC_SSILIST_ITEM_CLICK_ACK
083E 26 26 0	receive::login_error (PACKET_AC_REFUSE_LOGIN_R2)
0840 -1 4 0
0841 4 4 0		PACKET_CH_SELECT_ACCESSIBLE_MAPNAME
0827 6 6 0		send::char_delete2 (PACKET_CH_DELETE_CHAR3_RESERVED)
0828 14 14 0	receive::char_delete2_result (PACKET_HC_DELETE_CHAR3_RESERVED)
0829 12 12 0	PACKET_CH_DELETE_CHAR3
082A 10 10 0	PACKET_HC_DELETE_CHAR3
082B 6 6 0		send::char_delete2_cancel (PACKET_CH_DELETE_CHAR3_CANCEL)
082C 10 10 0	receive::char_delete2_cancel_result (PACKET_HC_DELETE_CHAR3_CANCEL)
0842 6 6 0		PACKET_CZ_RECALL_SSO
0843 6 6 0		PACKET_CZ_REMOVE_AID_SSO
0844 2 2 0		send::cash_shop_open
0845 6 6 0		receive::cash_shop_open_result (PACKET_ZC_SE_CASHSHOP_OPEN)
0846 4 4 0
0847 -1 6 0
0848 -1 6 0		send::cash_shop_buy_items
0849 12 12 0	receive::cash_shop_buy_result (PACKET_ZC_SE_PC_BUY_CASHITEM_RESULT)
084A 2 2 0		send::cash_shop_close
084B 19 19 0	receive::item_appeared (PACKET_ZC_ITEM_FALL_ENTRY4)
084C 10 10 0
084D 10 10 0
084E 5 5 0
084F 6 6 0
0850 7 7 0
0855 6 6 0
0851 -1 4 0
0852 2 2 0
0853 -1 4 0
0854 -1 4 0
0856 -1 71 0	receive::actor_moved
0857 -1 65 0	receive::actor_exists
0858 -1 64 0	receive::actor_connected
0859 -1 45 0	receive::show_eq
08B1 -1 4 0
082D -1 29 0	receive::received_characters
08B2 -1 6 0
08AF 10 10 0
08B0 17 17 0
08B3 -1 8 0
08B4 2 2 0
08B5 6 6 0
08B6 3 3 0
02F3 -1 68 0
02F4 3 3 0
02F5 7 7 0
02F6 7 7 0
08B8 10 10 0	send::send_pin_password
08B9 12 12 0	receive::login_pin_code_request
08BA 10 10 0	send::new_pin_password
08BB 8 8 0		receive::login_pin_new_code_result
08BC 10 10 0
08BD 8 8 0
08BE 14 14 0
08BF 8 8 0
08C3 10 10 0
08C4 8 8 0
08C5 6 6 0
08C6 4 4 0
08C0 -1 10 0
08C1 2 2 0
08C2 2 2 0
08C7 -1 19 0	receive::area_spell
08C8 34 34 0	receive::actor_action
08C9 2 2 0		send::request_cashitems
08CA -1 8 0		receive::cash_shop_list (PACKET_ZC_ACK_SCHEDULER_CASHITEM)
08CB -1 10 0	receive::rates_info
097B -1 16 0
08CC 109 109 0
08CE 2 2 0
08CF 10 10 0	receive::revolving_entity
08D0 9 9 0
08D1 7 7 0
08D2 10 10 0	receive::high_jump
08D3 10 10 0
08D4 8 8 0
08D5 -1 8 0
08D6 6 6 0
08D7 28 28 0
08D8 27 27 0
08D9 30 30 0
08DA 26 26 0
08DB 27 27 0
08DC 26 26 0
08DD 27 27 0
08DE 27 27 0
08DF 50 50 0
08E0 51 51 0
08E1 51 51 0
08E2 27 27 0
08E3 126 126 0
08E4 6 6 0
08FC 30 30 0
08FD 6 6 0
08FE -1 4 0
08FF 24 24 0	receive::actor_status_active2
0900 -1 4 0		receive::inventory_items_stackable
0901 -1 4 0		receive::inventory_items_nonstackable
0902 -1 4 0		receive::cart_items_stackable
0903 -1 4 0		receive::cart_items_nonstackable
0904 -1 4 0
0905 -1 4 0
0906 -1 45 0
0907 5 5 0
0908 5 5 0
090A 26 26 0
090D -1 10 0
090E 2 2 0
0910 10 10 0
0911 30 30 0
0912 10 10 0
0913 30 30 0
0914 -1 80 0
090F -1 73 0
0915 -1 74 0
0916 26 26 0	PACKET_CZ_REQ_JOIN_GUILD2
096B 4 4 0
096C 6 6 0
096D -1 4 0
096E -1 4 0
096F 7 7 0
0971 6 6 0
0972 -1 9 0
0973 7 7 0
0974 2 2 0
0975 -1 28 0	receive::storage_items_stackable
0976 -1 28 0	receive::storage_items_nonstackable
0977 14 14 0	receive::monster_hp_info
0978 6 6 0
0979 50 50 0
097A -1 8 0		receive::quest_all_list2
097C 4 4 0
097D 288 288 0
097E 12 12 0
097F -1 8 0
0980 7 7 0
0981 -1 12 0
0982 7 7 0
0983 29 29 0
0984 28 28 0
0985 -1 4 0
0986 10 10 0
0987 -1 41 0	send::master_login
0988 6 6 0
0989 2 2 0
098A -1 74 0
098D -1 4 0
098E -1 28 0
098B 2 2 0
098C 4 4 0
098F -1 8 0
0990 31 31 0
0991 -1 4 0
0992 -1 4 0
0993 -1 4 0
0994 -1 4 0
0995 -1 28 0
0996 -1 28 0
0997 -1 45 0
0998 8 8 0
0999 11 11 0
099A 9 9 0
099B 8 8 0		receive::map_property3 (PACKET_ZC_MAPPROPERTY_R2)
099C 6 6 0
099D -1 4 0		receive::received_characters
099E 12 12 0
099F -1 22 0	receive::area_spell_multiple2
09A0 6 6 0		receive::sync_received_characters
09A1 2 2 0		send::sync_received_characters
09A2 6 6 0
09A3 -1 8 0
09A4 18 18 0
09A5 7 7 0
09AB 6 6 0
09A6 12 12 0
09A7 10 10 0
09A8 16 16 0
09A9 10 10 0
09AA 16 16 0
09AC -1 8 0
09AD 10 10 0
09AE 17 17 0
09AF 4 4 0
09B0 8 8 0
09B1 4 4 0
09B2 8 8 0
09B3 4 4 0
09B4 6 6 0
09B5 2 2 0
09B6 6 6 0
09B7 4 4 0
09B8 6 6 0
09B9 4 4 0
09BA 2 2 0
09BB 6 6 0
09BC 6 6 0
09BD 2 2 0
09BE 2 2 0
09BF 4 4 0
09C1 10 10 0
09C2 -1 4 0
09C3 8 8 0
09C4 8 8 0
09C5 1042 1042 0
09C6 -1 16 0
09C7 18 18 0
09C8 -1 13 0
09C9 -1 4 0
09CA -1 23 0
09CB 17 17 0
09CC -1 4 0
09CD 8 8 0
09CE 102 102 0
09CF -1 4 0		receive::gameguard_request
09D0 -1 4 0		send::gameguard_reply
09D1 14 14 0
09D2 -1 28 0
09D3 -1 28 0
09D4 2 2 0
09D5 -1 4 0
09D6 -1 4 0
09D8 2 2 0
09D7 -1 5 0
09D9 4 4 0
09DA -1 8 0
09DB -1 84 0
09DC -1 77 0
09DD -1 78 0
09DE -1 33 0
09DF 7 7 0
09E0 -1 40 0
09E1 8 8 0
09E2 8 8 0
09E3 8 8 0
09E4 8 8 0
09E5 18 18 0
09E6 22 22 0
09E7 2 2 0
09E8 10 10 0
09E9 2 2 0
09EE 11 11 0
09EF 11 11 0
09F0 -1 7 0
09F5 11 11 0
09F6 11 11 0
09EA 11 11 0
09EB 23 23 0
09F7 75 75 0
09EC -1 65 0
09ED 3 3 0
